iter	Passed	Remaining
0	4	469
1	8	434
2	12	395
3	15	361
4	18	354
5	22	344
6	25	338
7	28	329
8	32	329
9	36	324
10	39	319
11	43	316
12	46	309
13	49	306
14	53	301
15	56	296
16	60	293
17	63	289
18	67	286
19	70	282
20	73	277
21	78	276
22	84	282
23	88	280
24	92	277
25	96	275
26	101	273
27	105	270
28	109	268
29	113	265
30	117	261
31	121	257
32	127	259
33	133	258
34	137	255
35	142	252
36	145	248
37	149	244
38	153	240
39	157	236
40	162	234
41	164	227
42	169	224
43	177	225
44	181	221
45	183	215
46	187	211
47	189	205
48	191	199
49	193	193
50	195	187
51	197	182
52	199	176
53	201	171
54	202	165
55	204	160
56	206	155
57	208	150
58	210	146
59	212	141
60	213	136
61	215	132
62	217	127
63	219	123
64	221	119
65	223	114
66	225	110
67	226	106
68	229	102
69	231	99
70	233	95
71	234	91
72	236	87
73	238	83
74	239	79
75	241	76
76	242	72
77	244	68
78	246	65
79	247	61
80	249	58
81	251	55
82	252	51
83	254	48
84	256	45
85	257	41
86	259	38
87	261	35
88	263	32
89	266	29
90	268	26
91	269	23
92	271	20
93	273	17
94	275	14
95	277	11
96	279	8
97	280	5
98	282	2
99	284	0
